cases,FixGrid,Unfix
epsilon = 1,13710.747623955403,129372.56898153244
epsilon = 0.1,76919.2733056577,183275.25747000688
epsilon = 0.05,102606.58046244989,181445.6054761562
epsilon = 0.02,120989.66516486612,178607.14996742233
epsilon = 0.01,123929.03906597277,178771.31051774186
